position,ssn_join,ssn_lve,lge_apps,lge_sub,lge_gls,fac_apps,fac_sub,fac_gls,lc_apps,lc_sub,lc_gls,other_apps,other_sub,other_gls,total_apps,total_subs,total_gls,prev_club,next_club
MF,72,74,15,2,0,0,0,0,0,0,0,0,0,0,15,2,0,Local,Luton Town
CH,73,73,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,Formby,""
CH,22,22,34,0,0,1,0,0,0,0,0,0,0,0,35,0,0,Barnsley,Merthyr Town
IR,22,22,22,0,3,1,0,0,0,0,0,0,0,0,23,0,3,Barrow,""
CH,30,30,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,East Fife,East Fife
WH,55,55,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Rhyl,""
RH,30,30,27,0,0,2,0,0,0,0,0,0,0,0,29,0,0,Liverpool,Wigan Borough
G,36,36,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Hoylake,""
CF,46,46,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,Local,""
G,85,85,12,0,0,4,0,0,0,0,0,0,0,0,16,0,0,Stoke City (loan),""
OL,48,48,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Crystal Palace,""
FB,84,85,22,0,1,3,0,0,1,1,0,1,1,0,27,2,1,Oldham Athletic,""
IF,63,68,130,8,17,6,0,0,9,1,1,0,0,0,145,9,18,Liverpool,Watford
IF,72,72,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,Watford,""
IF,60,60,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,Huddersfield Town,Halifax Town
CH,67,69,77,5,21,7,0,2,7,0,1,0,0,0,91,5,24,Everton,""
IF,24,25,35,0,0,2,0,0,0,0,0,0,0,0,37,0,0,Gillingham,Coventry City
LB,88,88,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Local,""
IL,38,38,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Wolves,""
IR,38,38,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Kirkintilloch Rob Roy,""
OL,54,55,68,0,9,4,0,2,0,0,0,0,0,0,72,0,11,Middlesbrough,Wigan Athletic
LB,30,30,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Local,""
LH,31,38,235,0,3,21,0,0,0,0,0,0,0,0,256,0,3,Local,""
IL,32,33,15,0,2,1,0,2,0,0,0,0,0,0,16,0,4,Aston Villa,Leamington Town
CF,56,56,7,0,3,1,0,0,0,0,0,0,0,0,8,0,3,Sunderland,""
CF,72,72,9,0,1,2,0,0,0,0,0,0,0,0,11,0,1,Coventry City,Portsmouth
WH,65,65,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,Bolton Wanderers,""
CF,87,91,167,13,29,7,1,2,16,2,6,20,0,10,210,16,47,Wrexham,Retired
FB,45,56,311,0,0,27,0,0,0,0,0,0,0,0,338,0,0,Carlton,Burscough
IF,55,56,15,0,5,0,0,0,0,0,0,0,0,0,15,0,5,Everton,Ellesmere Port Town
IF,66,67,28,4,3,6,0,1,1,0,0,0,0,0,35,4,4,Oldham Athletic,""
FB,94,94,3,0,0,0,0,0,1,0,0,1,0,0,5,0,0,Glasgow Rangers (loan),""
FB,94,96,100,1,1,4,0,0,9,0,0,1,0,0,114,1,1,Glasgow Rangers,""
LH,73,73,20,0,0,2,0,0,5,0,0,0,0,0,27,0,0,Stoke City,""
RB,66,69,114,9,2,12,0,0,4,0,0,0,0,0,130,9,2,Hartlepool,Ellesmere Port Town
CH,67,71,112,6,8,11,0,2,6,0,0,0,0,0,129,6,10,Juniors,Liverpool
CF,21,21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Halifax Town,""
CH,64,65,83,0,2,3,0,0,3,0,0,0,0,0,89,0,2,Stoke City,Stockport County
LB,21,27,192,0,13,13,0,0,0,0,0,0,0,0,205,0,13,Bootle Albion,""
RB,21,22,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,Manchester City,Southport
FB,55,55,3,0,1,0,0,0,0,0,0,0,0,0,3,0,1,Everton,""
CD,95,96,54,0,0,0,0,0,8,0,0,0,0,0,62,0,0,Aston Villa,""
G,32,32,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Hoylake,New Brighton
G,36,36,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,New Brighton,Northwich Victoria
LB,25,29,175,0,0,9,0,0,0,0,0,0,0,0,184,0,0,Bolton Wanderers,Congleton Town
CF,78,78,10,1,2,0,0,0,0,0,0,0,0,0,10,1,2,Everton (loan),""
G,69,70,18,0,0,3,0,0,1,0,0,0,0,0,22,0,0,Blackpool,Oxford United
OR,38,38,9,0,1,0,0,0,0,0,0,0,0,0,9,0,1,Millwall,""
IL,48,48,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Amateur,Port Sunlight
D,88,96,264,3,12,7,0,0,23,1,1,16,0,1,310,4,14,YTS,Everton
CH,33,33,6,0,0,1,0,0,0,0,0,0,0,0,7,0,0,Oldham Athletic,Rochdale
RB,48,48,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Lincoln City,""
RB,22,22,35,0,5,1,0,0,0,0,0,0,0,0,36,0,5,Millwall,Retired
CF,26,26,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bolton Wanderers,""
CD,96,96,19,0,1,0,0,0,0,0,0,0,0,0,19,0,1,Wimbledon,""
OL,86,86,4,1,3,0,0,0,0,0,0,1,0,0,5,1,3,Bradford City (loan),""
D,86,87,51,2,0,2,0,0,4,0,1,3,0,0,60,2,1,Stockport County,Stockport County
IF,51,51,25,0,15,4,0,3,0,0,0,0,0,0,29,0,18,Chester,Wrexham
CF,32,33,7,0,1,0,0,0,0,0,0,0,0,0,7,0,1,Shaftesbury B.C.,Witton Albion
MF,85,85,36,0,0,2,0,0,2,0,0,3,0,0,43,0,0,Northampton Town,Walsall
CF,38,38,13,0,3,1,0,0,0,0,0,0,0,0,14,0,3,Derby County,Kidderminster Harriers
G,36,36,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Lytham,""
OR,65,65,7,0,3,0,0,0,1,0,0,0,0,0,8,0,3,Halifax Town,""
MF,72,77,193,2,26,10,0,2,16,0,3,0,0,0,219,2,31,Local,Blackpool
OL,27,35,310,0,94,23,0,13,0,0,0,0,0,0,333,0,107,Atherton,Exeter City
MF,72,74,76,3,5,4,1,0,6,0,0,0,0,0,86,4,5,Heart of Midlothian,Halifax Town
CD,85,93,317,1,11,19,0,3,20,1,5,29,0,1,385,2,20,Spennymoor United,Middlesbrough
CH,38,38,21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,Everton,""
F,54,55,22,0,6,0,0,0,0,0,0,0,0,0,22,0,6,Airdrie,Macclesfield
CF,27,27,24,0,23,3,0,1,0,0,0,0,0,0,27,0,24,Tranmere Celtic,Aston Villa
CF,36,38,74,0,42,4,0,1,0,0,0,0,0,0,78,0,43,Wolves,Accrington Stanley
LB,33,34,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,Troodyrhiw,Hereford Town
D,82,82,5,4,0,0,0,0,0,0,0,0,0,0,5,4,0,Rochdale,""
LB,37,38,60,0,2,3,0,0,0,0,0,0,0,0,63,0,2,Millwall,Retired Injured
CF,29,29,30,0,18,2,0,1,0,0,0,0,0,0,32,0,19,Southampton,Southport
CH,33,35,4,0,1,0,0,0,0,0,0,0,0,0,4,0,1,Scottish Juniors,South Liverpool
IR,29,33,115,0,53,13,0,7,0,0,0,0,0,0,128,0,60,Newport County,""
RB,74,74,17,3,0,0,0,0,0,1,0,0,0,0,17,4,0,Liverpool,""
OL,64,64,13,0,3,0,0,0,1,0,0,0,0,0,14,0,3,Luton Town,Scarborough
F,82,82,16,0,3,0,0,0,0,0,0,0,0,0,16,0,3,Rochdale,Northwich Victoria
F,83,83,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,Northwich Victoria,Swansea City
G,76,78,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,Everton,""
CF,66,66,13,1,3,2,0,0,0,0,0,0,0,0,15,1,3,Halifax Town,Colchester United
RH,48,50,101,0,9,5,0,2,0,0,0,0,0,0,106,0,11,Carlton,Bolton Wanderers
OR,25,26,45,0,16,2,0,0,0,0,0,0,0,0,47,0,16,Stoke City,Yeovil & Petters
CF,31,33,80,0,29,10,0,6,0,0,0,0,0,0,90,0,35,Bradford City,""
F,78,80,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,Local,""
LB,36,36,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,Bradford Park Avenue,Hartlepools United