season,scorers
"1932/33","Bell 2,Whitehurst"
"1932/33","Bell"
"1932/33","Fishwick"
"1932/33","Bell,Spencer E,Urmson"
"1932/33","Fishwick,Bell"
"1932/33","Bell"
"1932/33","Bell,Urmson"
"1932/33","Spencer R,Bell 2,Whitehurst"
"1932/33",""
"1932/33","McMurray,Whitehurst,Urmson"
"1932/33","McMurray 2"
"1932/33","Whitehurst"
"1932/33","Watts"
"1932/33","McMurray,Bell"
"1932/33",""
"1932/33","Dixon,Whitehurst,Urmson"
"1932/33","Dixon"
"1932/33","Whitehurst,Urmson"
"1932/33","Watts 2,Dixon"
"1932/33",""
"1932/33","Dixon 2,Whitehurst 2"
"1932/33","Bell,OG"
"1932/33","Fishwick,Whitehurst 2"
"1932/33","Urmson,OG 2"
"1932/33","Whitehurst 2"
"1932/33","Whitehurst,Urmson"
"1932/33","Adams,Watts,Whitehurst"
"1932/33","Urmson"
"1932/33",""
"1932/33",""
"1932/33","Whitehurst"
"1932/33","Bell,Urmson"
"1932/33","Watts,Urmson"
"1932/33",""
"1932/33","Watts,OG"
"1932/33",""
"1932/33","Spencer E"
"1932/33","Urmson"
"1932/33","Fishwick,Watts 2,Urmson 2"
"1932/33","Tong,Bell 2"
"1932/33","Watts,Whitehurst,Urmson"
"1932/33","Bell,OG"
"1932/33","Bell,Whitehurst"
"1932/33",""
"1932/33",""
"1932/33",""
"1932/33","Bell"
"1932/33",""