game_date,player_name,min_so
1986-09-27,Andy Thorpe,90
1986-10-11,Frank Worthington,77
1987-02-14,Simon Farnworth,87
1987-03-21,Johnny Morrissey,43
1987-08-18,Mark McCarrick,44
1987-09-15,Steve Mungall,64
1988-10-24,Mark McCarrick,53
1988-10-24,Mark Hughes,71
1988-11-12,Johnny Morrissey,63
1989-02-18,Johnny Morrissey,71
1989-03-13,Eddie Bishop,25
1990-02-17,Neil McNab,17
1990-04-14,Eddie Bishop,85
1990-05-05,Dave Higgins,49
1990-10-20,Mark Hughes,34
1990-11-03,Eddie Bishop,35
1990-12-29,Neil McNab,90
1991-02-26,Eric Nixon,43
1991-08-27,Mark Hughes,50
1991-10-04,Dave Martindale,85
1991-10-12,Dave Higgins,71
1991-12-28,John Aldridge,55
1992-01-04,Dave Higgins,43
1992-04-04,Dave Higgins,81
1992-12-16,Neil McNab,80
1993-01-02,John Aldridge,71
1993-03-06,Ged Brannan,88
1993-05-08,Danny Coyne,38
1993-08-28,Chris Malkin,30
1993-08-28,Ian Nolan,85
1994-02-05,Eric Nixon,73
1994-04-12,Johnny Morrissey,44
1994-05-18,Eric Nixon,90
1995-02-11,Shaun Garnett,40
1995-09-09,Shaun Teale,57
1996-04-27,Dave Higgins,37
1995-04-30,Dave Higgins,45