game_date,shirt_no,player_name,on_for,off_for,min_on,min_off
1999-08-07,29,Michael Black,7.0,,80.0,
1999-08-07,7,Alan Mahon,,29.0,,80.0
1999-08-07,9,David Kelly,14.0,,80.0,
1999-08-07,14,Andy Parkinson,,9.0,,80.0
1999-11-12,3,Andy Thompson,31.0,,79.0,
1999-11-12,31,Steve Yates,,3.0,,79.0
1999-11-12,10,Scott Taylor,14.0,,90.0,
1999-11-12,14,Andy Parkinson,,10.0,,90.0
2000-01-08,7,Alan Mahon,17,,50.0,
2000-01-08,17,Jason Koumas,,7.0,,50.0
2000-01-08,10,Scott Taylor,9.0,,79.0,
2000-01-08,9,David Kelly,,10.0,,79.0
2000-01-08,18,Stephen Frail,14.0,,90.0,
2000-01-08,14,Andy Parkinson,,18.0,,90.0
2000-09-12,10,Scott Taylor,,9.0,,66.0
2000-09-12,9,Andy Parkinson,10.0,,66.0,
2000-09-12,8,Nick Henry,,11.0,,82.0
2000-09-12,26,Sean Flynn,,12.0,,90.0
2000-09-12,12,Alan Morgan,26.0,,90.0,
2000-09-12,11,Stuart Barlow,8.0,,82.0,
2000-11-28,9,Andy Parkinson,10.0,,91.0,
2000-11-28,10,Scott Taylor,,9.0,,91.0
2000-11-28,8,Nick Henry,4.0,,120.0,
2000-11-28,4,Wayne Allison,,8.0,,120.0
2000-12-02,22,Iain Hume,10.0,,69.0,
2000-12-02,10,Scott Taylor,,22.0,,69.0
2000-12-02,25,Paul Rideout,,8.0,,77.0
2000-12-02,2,Steve Yates,16.0,,90.0,
2000-12-02,16,Jason Koumas,,2.0,,90.0
2000-12-02,8,Nick Henry,25.0,,77.0,
2001-01-01,14,Reuben Hazell,18.0,,66.0,
2001-01-01,18,Richard Hinds,,14.0,,66.0
2001-01-01,7,Wayne Gill,16.0,,90.0,
2001-01-01,16,Jason Koumas,,7.0,,90.0
2001-01-01,10,Scott Taylor,11.0,,72.0,
2001-01-01,11,Stuart Barlow,,10.0,,72.0
2003-03-04,12,Andy Parkinson,15.0,,90.0,
2003-03-04,7,Jason Price,,20.0,,69.0
2003-03-04,15,Iain Hume,,12.0,,90.0
2003-03-04,16,Alex Hay,,25.0,,68.0
2003-03-04,20,Ryan Taylor,7.0,,69.0,
2003-03-04,25,Shane Nicholson,16.0,,68.0,
2003-11-08,10,Gary Jones,14.0,,81.0,
2003-11-08,14,Eugene Dadi,,10.0,,81.0
2003-11-08,11,Shane Nicholson,7.0,,90.0,
2003-11-08,7,Iain Hume,,11,,90.0
2004-08-10,18,Danny Harrison,34.0,,90.0,
2004-08-10,34,Jason McAteer,,18.0,,90.0
2004-08-10,12,Calvin Zola,14.0,,79.0,
2004-08-10,14,Eugene Dadi,,12.0,,79.0
2004-08-24,14,Eugene Dadi,12.0,,78.0,
2004-08-24,12,Calvin Zola,,14.0,,78.0
2004-08-24,18,Danny Harrison,8.0,,80.0,
2004-08-24,8,Mark Rankine,,18.0,,80.0
2004-08-24,19,Steven Jennings,20.0,,90.0,
2004-08-24,20,David Beresford,,19.0,,90.0
2005-10-18,10,Chris Greenacre,,28.0,,86.0
2005-10-18,11,Sam Aiston,,9.0,,90.0
2005-10-18,28,Steve Davies,10.0,,86.0,
2005-10-18,9,Calvin Zola,11.0,,90.0,
2005-12-20,22,Paul Brown,11.0,,82.0,
2005-12-20,11,Sam Aiston,,22.0,,82.0
2005-12-20,16,Theodore Whitmore,20.0,,100.0,
2005-12-20,20,Carl Tremarco,,16.0,,100.0
2007-01-19,19,Steve Davies,,11.0,,83.0
2007-01-19,3,Carl Tremarco,15.0,,90.0,
2007-01-19,15,Ian Goodison,,3.0,,90.0
2007-01-19,11,Kevin Ellison,19.0,,83.0,
2007-01-19,10,Chris Greenacre,8.0,,65.0,
2007-01-19,8,Calvin Zola,,10.0,,65.0
2008-03-20,18,Jennison Myrie-Williams,23.0,,59.0,
2008-03-20,23,Chris Shuker,,18.0,,59.0
2008-03-20,8,Calvin Zola,10.0,,90.0,
2008-03-20,10,Chris Greenacre,,8.0,,90.0
2008-03-28,25,Craig Curran,10.0,,90.0,
2008-03-28,10,Chris Greenacre,,25.0,,90.0
2008-03-28,8,Calvin Zola,18.0,,72.0,
2008-03-28,18,Jennison Myrie-Williams,,8.0,,72.0
2008-09-02,19,Charlie Barnett,6.0,,63.0,
2008-09-02,6,Antony Kay,,19.0,,63.0
2008-09-02,9,Ian Thomas-Moore,23.0,,82.0,
2008-09-02,23,Chris Shuker,,9.0,,82.0
2008-09-02,10,Chris Greenacre,16.0,,90.0,
2008-09-02,16,Edrissa Sonko,,10.0,,90.0
2008-10-24,10,Chris Greenacre,7.0,,90.0,
2008-10-24,7,Bas Savage,,10.0,,90.0
2008-10-24,23,Chris Shuker,,16.0,,81.0
2008-10-24,16,Edrissa Sonko,23.0,,81.0,
2008-10-24,13,Gareth Edds,,19.0,,81.0
2008-10-24,19,Charlie Barnett,13.0,,81.0,
2008-10-28,19,Charlie Barnett,13.0,,74.0,
2008-10-28,13,Gareth Edds,,19.0,,74.0
2008-10-28,16,Edrissa Sonko,9.0,,81.0,
2008-10-28,9,Ian Thomas-Moore,,16.0,,81.0
2008-10-28,2,Godwin Antwi,5.0,,90.0,
2008-10-28,5,Ian Goodison,,2.0,,90.0
2010-08-21,19,Kayleden Brown,6.0,,46.0,
2010-08-21,6,Paul McLaren,,19.0,,46.0
2010-08-21,15,Ryan Fraughan,25.0,,63.0,
2010-08-21,25,Joss Labadie,,15.0,,63.0
2010-08-21,26,Adam McGurk,9.0,,68.0,
2010-08-21,9,Ian Thomas-Moore,,26.0,,68.0
2012-11-16,11,Adam McGurk,,16.0,,90.0
2012-11-16,16,Cole Stockton,11.0,,90.0,
2012-11-16,12,Danny Harrison,24.0,,46.0,
2012-11-16,24,Jake Jervis,,12.0,,46.0
2014-04-21,15,Jake Kirby,26.0,,20.0,
2014-04-21,26,Jean-Louis Akpa Akpro,,15.0,,20.0
2014-04-21,12,James Rowe,23.0,,41.0,
2014-04-21,23,Liam Ridehalgh,,12.0,,41.0
2014-04-21,16,Cole Stockton,14.0,,90.0,
2014-04-21,14,Jake Cassidy,,16.0,,90.0
2014-10-07,19,Janoi Donacien,,28.0,,64.0
2014-10-07,15,Jake Kirby,11.0,,71.0,
2014-10-07,11,Abdulai Bell-Baggie,,15.0,,71.0
2014-10-07,28,Ben Davies,19.0,,64.0,
2014-11-15,19,Janoi Donacien,,2.0,,67.0
2014-11-15,2,Danny Holmes,19.0,,67.0,
2014-11-15,32,Josh Thompson,,24.0,,72.0
2014-11-15,9,Kayode Odejayi,14.0,,72.0,
2014-11-15,24,Evan Gumbs,32.0,,72.0,
2014-11-15,14,Marc Laird,,9.0,,72.0
2014-12-19,28,Shamir Fenelon,,33.0,,83.0
2014-12-19,33,Guy Madjo,28.0,,83.0,
2014-12-19,17,Dan Woodards,5.0,,36.0,
2014-12-19,5,Michael Ihiekwe,,17.0,,36.0
2014-12-19,16,Cole Stockton,9.0,,66.0,
2014-12-19,9,Kayode Odejayi,,16.0,,66.0
2015-12-19,9,Gary Taylor-Fletcher,,14.0,,75.0
2015-12-19,14,Andy Mangan,9.0,,75.0,
2015-12-19,17,Adam Mekki,,29.0,,66.0
2015-12-19,29,Ben Tomlinson,17.0,,66.0,
2015-12-19,3,Liam Ridehalgh,,2.0,,46.0
2015-12-19,2,Ritchie Sutton,3.0,,46.0,
2016-08-09,3,Liam Ridehalgh,,2.0,,1.0
2016-08-09,17,Jake Kirby,10.0,,90.0,
2016-08-09,10,James Norwood,,17.0,,90.0
2016-08-09,2,Lee Vaughan,3.0,,1.0,
2016-11-29,18,Ben Tollitt,,21.0,,86.0
2016-11-29,10,James Norwood,9.0,,57.0,
2016-11-29,9,Andy Cook,,10.0,,57.0
2016-11-29,38,James Wallace,19.0,,65.0,
2016-11-29,19,Andy Mangan,,38.0,,65.0
2016-11-29,21,Adam Dawson,18.0,,86.0,
2017-04-29,30,Sam Ilesanmi,,32.0,,64.0
2017-04-29,32,Tom Croughan,30.0,,64.0,
2017-04-29,31,Eddie Clarke,,36.0,,36.0
2017-04-29,36,Jack Flemming,31.0,,36.0,
2017-04-29,7,Adam Mekki,,42.0,,76.0
2017-04-29,42,James Devine,7.0,,76.0,
2018-10-21,12,Luke McCullough,,8.0,,90.0
2018-10-21,8,Jay Harris,12.0,,90.0,
2018-10-21,18,Jonny Smith,,29.0,,65.0
2018-10-21,29,Larnell Cole,18.0,,65.0,
2018-10-21,22,Harvey Gilmour,,9.0,,60.0
2018-10-21,9,Paul Mullin,22.0,,60.0,
2020-01-07,40,Lewis Sinnott,32.0,,82.0,
2020-01-07,12,Luke McCullough,,37.0,,62.0
2020-01-07,37,Joe Blackham,12.0,,62.0,
2020-01-07,4,Sid Nelson,,41.0,,15.0
2020-01-07,32,George Nugent,,40.0,,82.0
2020-01-07,41,Jake Burton,4.0,,15.0,
